crop_image,depth[m],equivalent_diameter[px],grain_size[px],grain_size_err[px]
0,2014.651,168.68606926485594,687980.3088803089,0
0,2014.652,170.6386240782588,715262.5850340136,0
0,2014.653,173.74194501876212,734578.8805970149,0
0,2014.654,179.2226035203114,794839.3518518518,0
0,2014.6550000000002,181.0327415048156,807380.3485576923,0
0,2014.6560000000002,180.74749493804117,801790.8096280087,0
0,2014.6570000000002,182.27429499038874,817584.5572354211,0
0,2014.6580000000001,179.2586321855961,795592.9555084746,0
0,2014.659,176.68399934342514,782271.4579055442,0
0,2014.66,179.25252265388838,803646.3684210526,0
0,2014.661,179.71184670776253,812633.9743589744,0
0,2014.662,183.67013104003686,856950.4838709678,0
0,2014.663,181.96013133940258,847763.3733624454,0
0,2014.664,180.77009769859896,835579.7802197802,0
0,2014.6650000000002,180.11971661875913,828496.5308370044,0
0,2014.6660000000002,185.72695135065703,893493.8799076213,0
0,2014.6670000000001,191.29992341483612,954565.1234567901,0
0,2014.6680000000001,195.9160119537971,1010578.1084656084,0
0,2014.669,202.7695853239993,1072094.5205479453,0
0,2014.67,206.45053762233235,1119647.5920679886,0
0,2014.671,212.5157927568518,1185142.668621701,0
0,2014.672,207.68005394218494,1124492.3303834808,0
0,2014.673,211.01329236228457,1156409.7025495751,0
0,2014.674,209.56418759205027,1128206.7528735632,0
0,2014.6750000000002,212.84002930456717,1174414.6075581396,0
0,2014.6760000000002,204.16898442013382,1083348.888888889,0
0,2014.6770000000001,205.73403564895293,1100993.3195592286,0
0,2014.678,208.28077946507864,1116814.4622093022,0
0,2014.679,218.2967647457766,1240633.3333333333,0
0,2014.68,219.15049056405655,1271132.2580645161,0
0,2014.681,213.90561248192486,1210563.2445141065,0
0,2014.682,214.48863937223723,1210117.4148606812,0
0,2014.683,211.64028047469543,1184243.5917721519,0
0,2014.6840000000002,211.5565072577217,1218503.637770898,0
0,2014.6850000000002,208.37594742018013,1174380.7339449541,0
0,2014.6860000000001,211.7567162710739,1196068.328220859,0
0,2014.6870000000001,206.7184275819197,1131610.044642857,0
0,2014.688,208.53560361135024,1156483.9743589743,0
0,2014.689,200.61780563798862,1047206.4839572193,0
0,2014.69,197.76175532458328,987864.0428211587,0
0,2014.691,193.81219679932738,937253.0266343825,0
0,2014.692,195.12281844854053,947441.172985782,0
0,2014.693,195.47159759835662,950156.206088993,0
0,2014.6940000000002,193.01604747622596,904293.9655172414,0
0,2014.6950000000002,189.80460350216651,882175.7174392936,0
0,2014.6960000000001,189.3800680840935,882454.9450549451,0
0,2014.6970000000001,190.6301505652826,897195.1025056947,0
0,2014.698,191.84122449360612,907660.9770114942,0
0,2014.699,193.86673410542764,923289.8601398602,0
0,2014.7,193.8934806721627,921553.4543325527,0
0,2014.701,193.82466227855636,925807.4182242991,0
0,2014.702,194.1127629599542,931984.3091334895,0
0,2014.7030000000002,194.82954521580282,932601.7427884615,0
0,2014.7040000000002,200.53294696534456,990913.7437810946,0
0,2014.7050000000002,201.3209502372348,987958.850129199,0
0,2014.7060000000001,202.05040992058215,995808.3573487032,0
0,2014.707,201.6599942115787,989089.9371069182,0
0,2014.708,196.0211495885612,919843.7931034482,0
0,2014.709,194.47501484831807,911681.8725099602,0
0,2014.71,193.3988342625105,906838.9024390244,0
1,2014.711,190.60851603755805,881532.4786324786,0
1,2014.712,190.3092884630889,881593.0372807018,0
1,2014.7130000000002,192.35198750253818,910600.3923766816,0
1,2014.7140000000002,193.64764544225355,934169.4063926941,0
1,2014.7150000000001,196.53630789564664,968190.3381642512,0
1,2014.7160000000001,201.60986397769065,1019719.92481203,0
1,2014.717,204.76999437504702,1060661.3517060368,0
1,2014.718,209.66948320854027,1123389.4736842106,0
1,2014.719,211.6286719042221,1145124.2816091955,0
1,2014.72,208.18265318187838,1112849.376731302,0
1,2014.721,203.77764607041144,1060100.6,0
1,2014.722,200.72303916829966,1021059.793814433,0
1,2014.7230000000002,192.5895354079143,936767.380952381,0
1,2014.7240000000002,191.11285152974725,930732.0348837209,0
1,2014.7250000000001,187.37190808949347,898219.954648526,0
1,2014.726,182.04893420203712,841565.55907173,0
1,2014.727,182.0749958007301,829249.577167019,0
1,2014.728,183.77738675575102,846390.6976744186,0
1,2014.729,185.06312562628088,862855.1612903225,0
1,2014.73,190.75532606130793,915554.1857798165,0
1,2014.731,192.80585907822118,937023.0072463768,0
1,2014.7320000000002,193.71423597296192,951594.9879227054,0
1,2014.7330000000002,195.75041497534895,966293.2432432432,0
1,2014.7340000000002,193.7651256805631,922334.0632603406,0
1,2014.7350000000001,194.35704139215215,922105.3154205608,0
1,2014.736,194.13663373340077,926490.3985507246,0
1,2014.737,194.6786611405918,944895.9427207637,0
1,2014.738,193.08189347317708,917113.5933806146,0
1,2014.739,191.7162005665005,892527.5743707094,0
1,2014.74,188.32643737051825,862634.0555555555,0
1,2014.741,186.2787058526851,839114.8305084746,0
1,2014.7420000000002,184.59630283086662,822271.9854469855,0
1,2014.7430000000002,187.64788672777732,850614.6533613446,0
1,2014.7440000000001,185.55150735331458,829521.1697722567,0
1,2014.7450000000001,185.13385555401763,820353.0102040817,0
1,2014.746,184.03945601161337,807215.7242063492,0
1,2014.747,181.68626143609447,772764.3545279383,0
1,2014.748,179.70732916101065,757027.9300567107,0
1,2014.749,179.1651208230265,759684.6374045801,0
1,2014.75,180.60908049926897,769147.0532319392,0
1,2014.7510000000002,179.9832387493443,760805.8712121212,0
1,2014.7520000000002,179.95966058347295,761534.7115384615,0
